epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,734.088,0.74565,2.83101,1.03442,0.00585,1,0.8731,0.83204,0.22885,2.68665,0.77405,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333,0.00196,0.000653333
2,1367.94,0.53734,1.42876,0.90688,1,0.99981,0.995,0.96075,0.28148,1.02857,0.76633,0.00387288,0.00129096,0.00387288,0.00129096,0.00387288,0.00129096,0.00387288,0.00129096
3,2010.17,0.499,0.90433,0.88775,1,0.99993,0.995,0.97425,0.24297,0.89507,0.76537,0.00569776,0.00189925,0.00569776,0.00189925,0.00569776,0.00189925,0.00569776,0.00189925
4,2368.14,0.44697,0.80796,0.87353,0.99978,1,0.995,0.97138,0.25214,0.70501,0.76688,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
5,2751.75,0.42778,0.72666,0.86876,0.99983,1,0.995,0.97406,0.24562,0.66923,0.76597,0.005472,0.001824,0.005472,0.001824,0.005472,0.001824,0.005472,0.001824
6,3217.28,0.37768,0.64716,0.85078,0.99979,1,0.995,0.98401,0.21813,0.58165,0.76399,0.00534,0.00178,0.00534,0.00178,0.00534,0.00178,0.00534,0.00178
7,3613.77,0.38021,0.60785,0.86081,0.99983,1,0.995,0.99068,0.19532,0.52469,0.76069,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
8,4012.29,0.35519,0.56653,0.84904,0.99984,1,0.995,0.99326,0.18933,0.49481,0.7645,0.005076,0.001692,0.005076,0.001692,0.005076,0.001692,0.005076,0.001692
9,4394.44,0.35133,0.52632,0.84736,0.99984,1,0.995,0.99023,0.19684,0.44799,0.76335,0.004944,0.001648,0.004944,0.001648,0.004944,0.001648,0.004944,0.001648
10,4798.44,0.34001,0.49938,0.84292,0.99984,1,0.995,0.99341,0.1733,0.43904,0.76076,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
11,5197.51,0.31347,0.47819,0.83737,0.99984,1,0.995,0.98664,0.20184,0.43702,0.76572,0.00468,0.00156,0.00468,0.00156,0.00468,0.00156,0.00468,0.00156
12,5594.84,0.32062,0.46337,0.84587,0.99985,1,0.995,0.99304,0.16805,0.38772,0.76057,0.004548,0.001516,0.004548,0.001516,0.004548,0.001516,0.004548,0.001516
13,5980.24,0.31324,0.44919,0.85374,0.99984,1,0.995,0.99475,0.14943,0.37776,0.76095,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
14,6370.47,0.29909,0.43131,0.84305,0.99984,1,0.995,0.99478,0.14777,0.36812,0.76369,0.004284,0.001428,0.004284,0.001428,0.004284,0.001428,0.004284,0.001428
15,6751.18,0.30799,0.42063,0.84681,0.99984,1,0.995,0.995,0.14663,0.33776,0.76161,0.004152,0.001384,0.004152,0.001384,0.004152,0.001384,0.004152,0.001384
16,7145.59,0.29413,0.39727,0.83944,0.99985,1,0.995,0.995,0.15314,0.33455,0.76104,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
17,7531.79,0.29008,0.37863,0.83897,0.99985,1,0.995,0.99499,0.14964,0.32032,0.7603,0.003888,0.001296,0.003888,0.001296,0.003888,0.001296,0.003888,0.001296
18,7921.03,0.28311,0.37521,0.83792,0.99985,1,0.995,0.99479,0.14393,0.30082,0.76093,0.003756,0.001252,0.003756,0.001252,0.003756,0.001252,0.003756,0.001252
19,8266.53,0.28128,0.37091,0.84371,0.99985,1,0.995,0.99496,0.15178,0.30238,0.76142,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
20,8607.79,0.27516,0.3699,0.83908,0.99985,1,0.995,0.99496,0.1455,0.29073,0.76004,0.003492,0.001164,0.003492,0.001164,0.003492,0.001164,0.003492,0.001164
21,8942.54,0.2698,0.35562,0.83288,0.99985,1,0.995,0.99497,0.14557,0.28211,0.7604,0.00336,0.00112,0.00336,0.00112,0.00336,0.00112,0.00336,0.00112
22,9293.56,0.2623,0.34721,0.83347,0.99985,1,0.995,0.995,0.12004,0.26847,0.75936,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
23,9626.33,0.26177,0.34245,0.83157,0.99984,1,0.995,0.995,0.1266,0.25918,0.75915,0.003096,0.001032,0.003096,0.001032,0.003096,0.001032,0.003096,0.001032
24,9960.88,0.25561,0.3307,0.83415,0.99985,1,0.995,0.995,0.1294,0.2548,0.75929,0.002964,0.000988,0.002964,0.000988,0.002964,0.000988,0.002964,0.000988
25,10288.7,0.25677,0.3234,0.83105,0.99984,1,0.995,0.995,0.12552,0.25272,0.7585,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
